,(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
102,2021-05-11:09,좋음,29.0,좋음,12.0,좋음,0.015,보통,0.034,좋음,0.4,좋음,0.001
103,2021-05-11:08,좋음,28.0,좋음,14.0,좋음,0.007,보통,0.038,좋음,0.5,좋음,0.001
104,2021-05-11:07,좋음,26.0,보통,16.0,좋음,0.005,보통,0.036,좋음,0.4,좋음,0.001
105,2021-05-11:06,좋음,21.0,좋음,11.0,좋음,0.004,보통,0.033,좋음,0.4,좋음,0.001
106,2021-05-11:05,좋음,23.0,좋음,12.0,좋음,0.008,보통,0.031,좋음,0.4,좋음,0.001
107,2021-05-11:04,좋음,22.0,좋음,11.0,좋음,0.007,보통,0.033,좋음,0.4,좋음,0.001
108,2021-05-11:03,좋음,26.0,좋음,11.0,좋음,0.004,보통,0.04,좋음,0.5,좋음,0.001
109,2021-05-11:02,좋음,18.0,좋음,11.0,좋음,0.006,보통,0.041,좋음,0.5,좋음,0.001
110,2021-05-11:01,좋음,22.0,좋음,11.0,좋음,0.013,보통,0.033,좋음,0.4,좋음,0.001
111,2021-05-10:24,좋음,19.0,좋음,10.0,좋음,0.014,보통,0.035,좋음,0.5,좋음,0.001
112,2021-05-10:23,좋음,19.0,좋음,11.0,좋음,0.021,좋음,0.028,좋음,0.4,좋음,0.001
113,2021-05-10:22,좋음,19.0,좋음,11.0,좋음,0.022,보통,0.031,좋음,0.4,좋음,0.001
114,2021-05-10:21,좋음,24.0,좋음,13.0,좋음,0.024,좋음,0.029,좋음,0.4,좋음,0.001
115,2021-05-10:20,좋음,24.0,좋음,14.0,좋음,0.023,좋음,0.028,좋음,0.4,좋음,0.001
116,2021-05-10:19,좋음,22.0,좋음,12.0,좋음,0.025,좋음,0.029,좋음,0.4,좋음,0.001
117,2021-05-10:18,좋음,21.0,좋음,12.0,좋음,0.024,보통,0.032,좋음,0.4,좋음,0.001
118,2021-05-10:17,좋음,22.0,좋음,10.0,좋음,0.026,좋음,0.029,좋음,0.3,좋음,0.001
119,2021-05-10:16,좋음,20.0,좋음,10.0,좋음,0.024,보통,0.031,좋음,0.3,좋음,0.001
120,2021-05-10:15,좋음,22.0,좋음,11.0,좋음,0.017,보통,0.037,좋음,0.4,좋음,0.001
121,2021-05-10:14,좋음,19.0,좋음,9.0,좋음,0.018,보통,0.036,좋음,0.4,좋음,0.001
122,2021-05-10:13,좋음,22.0,좋음,13.0,좋음,0.02,보통,0.039,좋음,0.4,좋음,0.001
123,2021-05-10:12,좋음,23.0,좋음,9.0,좋음,0.014,보통,0.048,좋음,0.5,좋음,0.002
124,2021-05-10:11,좋음,26.0,좋음,10.0,좋음,0.018,보통,0.042,좋음,0.4,좋음,0.002
125,2021-05-10:10,보통,40.0,좋음,13.0,좋음,0.009,보통,0.052,좋음,0.6,좋음,0.003
126,2021-05-10:09,보통,35.0,좋음,12.0,좋음,0.005,보통,0.048,좋음,0.5,좋음,0.002
127,2021-05-10:08,보통,31.0,좋음,11.0,좋음,0.009,보통,0.046,좋음,0.5,좋음,0.003
128,2021-05-10:07,보통,31.0,좋음,13.0,좋음,0.019,보통,0.037,좋음,0.4,좋음,0.003
129,2021-05-10:06,좋음,30.0,좋음,11.0,좋음,0.029,좋음,0.024,좋음,0.3,좋음,0.003
130,2021-05-10:05,좋음,28.0,좋음,14.0,좋음,0.019,좋음,0.03,좋음,0.4,좋음,0.003
131,2021-05-10:04,좋음,24.0,좋음,10.0,좋음,0.016,보통,0.031,좋음,0.4,좋음,0.003
132,2021-05-10:03,좋음,27.0,좋음,11.0,좋음,0.021,좋음,0.028,좋음,0.4,좋음,0.003
133,2021-05-10:02,좋음,27.0,좋음,10.0,좋음,0.02,보통,0.033,좋음,0.4,좋음,0.002
134,2021-05-10:01,보통,32.0,좋음,10.0,좋음,0.03,좋음,0.028,좋음,0.4,좋음,0.003
